name,year,place,chef,category,location,ranking
Basa,2008,Basa,,Best New Restaurant,"Louisville, Kentucky",Semifinalist
Andre's,2008,Andre's,,Outstanding Service,"Las Vegas, Nevada",Semifinalist
Tres Agaves,2008,Tres Agaves,Popgun Design,Outstanding Restaurant Graphics,"San Francisco, California",Nominee
Palladio,2008,Palladio,Melissa Close-Hart,Best Chef: Mid-Atlantic,"Barboursville, Virginia",Semifinalist
Tartine Bakery,2008,Tartine Bakery,Chad Robertson,Outstanding Pastry Chef,"San Francisco, California",Winner
Sea Bar,2008,Sea Bar,Michael Andrzejewski,Best Chef: Northeast,"Williamsville, New York",Semifinalist
Ducca,2008,Ducca,Richard Corbo,Rising Star Chef of the Year,"San Francisco, California",Semifinalist
Anthony Bourdain,2008,Anthony Bourdain,,Who's Who of Food & Beverage in America,"New York, New York",Winner
Central Michel Richard,2008,Central Michel Richard,,Best New Restaurant,"Washington, District of Columbia",Winner
"Georgian Room, The Cloister",2008,"Georgian Room, The Cloister",Scott Crawford,Best Chef: Southeast,"Sea Island, Georgia",Semifinalist
The Loft,2008,The Loft,John Cuevas,Best Chef: Pacific,"Laguna Beach, California",Semifinalist
Joel Palmer House,2008,Joel Palmer House,Jack Czarnecki,Best Chef: Northwest,"Dayton, Oregon",Semifinalist
"D'Amico & Partners (D'Amico Cucina, Campiello, Cafe & Bar Lurcat, Masa, D'Amico & Sons)",2008,"D'Amico & Partners (D'Amico Cucina, Campiello, Cafe & Bar Lurcat, Masa, D'Amico & Sons)",Larry D'Amico,Outstanding Restaurateur,"Minneapolis, Minnesota",Semifinalist
Studio,2008,Studio,James Boyce,Outstanding Chef,"Laguna Beach, California",Semifinalist
Rover's,2008,Rover's,Thierry Rautureau,Outstanding Chef,"Seattle, Washington",Semifinalist
Max Fish,2008,Max Fish,Adam Alderin,Rising Star Chef of the Year,"Glastonbury, Connecticut",Semifinalist
Bacco,2008,Bacco,Luciano Del Signore,Best Chef: Great Lakes,"Southfield, Michigan",Semifinalist
Four Seasons Resort Palm Beach,2008,Four Seasons Resort Palm Beach,Hubert Des Marais,Best Chef: South,"Palm Beach, Florida",Semifinalist
Babbo Ristorante e Enoteca,2008,Babbo Ristorante e Enoteca,Mario Batali,Outstanding Restaurateur,"New York, New York",Winner
One Market,2008,One Market,,Outstanding Wine Service,"San Francisco, California",Semifinalist
The Wolfgang Puck Fine Dining Group,2008,The Wolfgang Puck Fine Dining Group,Wolfgang Puck,Outstanding Restaurateur,"Beverly Hills, California",Nominee
Deer Valley Resort,2008,Deer Valley Resort,Letty Flat,Outstanding Pastry Chef,"Park City, Utah",Semifinalist
Zanghi,2008,Zanghi,Nicola Zanghi,Best Chef: Northeast,"Stamford, Connecticut",Semifinalist
Father's Office,2008,Father's Office,Sang Yoon,Outstanding Wine & Spirits Professional,"Santa Monica, California",Semifinalist
Sushi Yasuda,2008,Sushi Yasuda,Naomichi Yasuda,Best Chef: New York City,"New  York, New York",Semifinalist
"Fox Restaurant Concepts (The Greene House, Olive & Ivy, Bloom",2008,"Fox Restaurant Concepts (The Greene House, Olive & Ivy, Bloom",Sam Fox,Outstanding Restaurateur,"Scottsdale, Arizona",Semifinalist
Xochitl,2008,Xochitl,,Best New Restaurant,"Philadelphia, Pennsylvania",Semifinalist
Momfuku Ssam Bar,2008,Momfuku Ssam Bar,David Chang,Best Chef: New York City,"New York, New York",Winner
Joseph's Table,2008,Joseph's Table,Joseph Wrede,Best Chef: Southwest,"Taos, New Mexico",Semifinalist
Alan Wong's,2008,Alan Wong's,Alan Wong,Outstanding Chef,"Honolulu, Hawaii",Semifinalist
PS 7's,2008,PS 7's,Naomi Gallego,Outstanding Pastry Chef,"Washington, District of Columbia",Semifinalist
Degustation,2008,Degustation,Wesley Genovart,Rising Star Chef of the Year,"New York, New York",Semifinalist
Limestone Restaurant,2008,Limestone Restaurant,Jim Gerhardt,Best Chef: Southeast,"Louisville, Kentucky",Semifinalist
Acquerello,2008,Acquerello,,Outstanding Wine Service,,Nominee
Russ Parsons,2008,Russ Parsons,,Who's Who of Food & Beverage in America,"Long Beach, California",Winner
Da Marco,2008,Da Marco,Marco Wiles,Best Chef: Southwest,"Houston, Texas",Semifinalist
Radius,2008,Radius,Patrick Connolly,Best Chef: Northeast,"Boston, Massachusetts",Winner
"Goode Company: Goode Co. Texas Seafood, Goode Co. Texas Bar-B-Q, Goode Co. Tacqueria & Hamburgers, and Goode's Armadillo Palace)",2008,"Goode Company: Goode Co. Texas Seafood, Goode Co. Texas Bar-B-Q, Goode Co. Tacqueria & Hamburgers, and Goode's Armadillo Palace)",Jim Goode,Outstanding Restaurateur,"Houston, Texas",Semifinalist
"Dream Dance, Potawatomi Bingo Casino",2008,"Dream Dance, Potawatomi Bingo Casino",Jason Gorman,Best Chef: Midwest,"Milwaukee, Wisconsin",Semifinalist
Restaurant Bricco,2008,Restaurant Bricco,Billy Grant,Best Chef: Northeast,"West Hartford, Connecticut",Semifinalist
Watts Grocery,2008,Watts Grocery,,Best New Restaurant,"Durham, North Carolina",Semifinalist
The Foundry on Melrose,2008,The Foundry on Melrose,,Best New Restaurant,"Los Angeles, California",Semifinalist
Buck's Fishing & Camping,2008,Buck's Fishing & Camping,Carole Greenwood,Best Chef: Mid-Atlantic,"Washington, District of Columbia",Semifinalist
P*ONG,2008,P*ONG,Pichet Ong,Outstanding Pastry Chef,"New York, New York",Nominee
Brennan's of Houston,2008,Brennan's of Houston,,Outstanding Service,"Houston, Texas",Semifinalist
Acadia,2008,Acadia,James Hale,Best Chef: South,"Little Rock, Arkansas",Semifinalist
Saffron,2008,Saffron,Sameh Wadi,Rising Star Chef of the Year,"Minneapolis, Minnesota",Semifinalist
Nancy Oakes,2008,Nancy Oakes,,Who's Who of Food & Beverage in America,"San Francisco, California",Winner
"B.R. Guests Restaurants (Fiamma, Ruby Foo's, Ocean Grill, Atlantic Grill, Blue Water Grill, Vento, Isabella's, Primehouse New York, and Dos Caminos)",2008,"B.R. Guests Restaurants (Fiamma, Ruby Foo's, Ocean Grill, Atlantic Grill, Blue Water Grill, Vento, Isabella's, Primehouse New York, and Dos Caminos)",Stephen Hanson,Outstanding Restaurateur,"New York, New York",Semifinalist
Courtright's,2008,Courtright's,,Outstanding Service,"Willow Springs, Illinois",Semifinalist
MiLa,2008,MiLa,,Best New Restaurant,"New Orleans, Louisiana",Semifinalist
Steve Sullivan,2008,Steve Sullivan,,Who's Who of Food & Beverage in America,"Berkeley, California",Winner
"Dale DeGroff Co., Inc.",2008,"Dale DeGroff Co., Inc.",Dale Degroff,Outstanding Wine & Spirits Professional,"West Hempstead, New York",Nominee
Higgins,2008,Higgins,Greg Higgins,Outstanding Chef,"Portland, Oregon",Semifinalist
Piperade,2008,Piperade,Gerald Hirigoyen,Best Chef: Pacific,"San Francisco, California",Semifinalist
The Continental Mid-town,2008,The Continental Mid-town,Kate Honeyman,Outstanding Pastry Chef,"Philadelphia, Pennsylvania",Semifinalist
Maneki,2008,Maneki,,America's Classics,"Seattle, Washington",Winner
Muse,2008,Muse,Jason Houser,Best Chef: Southeast,"Charleston, South Carolina",Semifinalist
Tufano's Vernon Park Tap,2008,Tufano's Vernon Park Tap,,America's Classics,"Chicago, Illinois",Winner
1 North Belmont,2008,1 North Belmont,Frits Huntjens,Best Chef: Mid-Atlantic,"Richmond, Virginia",Semifinalist
Frances Moore Lappé,2008,Frances Moore Lappé,,Humanitarian of the Year,,Winner
Carpenter & Main,2008,Carpenter & Main,Peter Ireland,Best Chef: Northeast,"Norwich, Vermont",Semifinalist
23 Hoyt,2008,23 Hoyt,Christopher Israel,Best Chef: Northwest,"Portland, Oregon",Semifinalist
Sushi-Ko,2008,Sushi-Ko,Koji Terano,Best Chef: Mid-Atlantic,"Washington, District of Columbia",Semifinalist
"Sesacape Ma'alaea Restaurant, Maui Ocean Center",2008,"Sesacape Ma'alaea Restaurant, Maui Ocean Center",Enrique Tariga,Rising Star Chef of the Year,"Wailuku, Hawaii",Semifinalist
Erling Jensen,2008,Erling Jensen,Erling Jensen,Best Chef: Southeast,"Memphis, Tennessee",Semifinalist
Todd Jurich's Bistro,2008,Todd Jurich's Bistro,Todd Jurich,Best Chef: Mid-Atlantic,"Norfolk, Virginia",Semifinalist
Rue Dumaine,2008,Rue Dumaine,,Best New Restaurant,"Centerville, Ohio",Semifinalist
Sage,2008,Sage,Andrew Meek,Best Chef: Midwest,"Des Moines, Iowa",Semifinalist
Mosaic,2008,Mosaic,Mark Kelly,Best Chef: Great Lakes,"Detroit, Michigan",Semifinalist
Napa Rose,2008,Napa Rose,,Outstanding Wine Service,"Anaheim, California",Semifinalist
Stonehill Tavern,2008,Stonehill Tavern,Adam Keough,Rising Star Chef of the Year,"Dana Point, California",Semifinalist
Chef Allen's,2008,Chef Allen's,Allen Susser,Outstanding Chef,"Aventura, Florida",Semifinalist
"The Dining Room, Woodlands Resort & Inn",2008,"The Dining Room, Woodlands Resort & Inn",Tarver King,Rising Star Chef of the Year,"Summerville, South Carolina",Semifinalist
Avenues,2008,Avenues,Graham Elliot Bowles,Best Chef: Great Lakes,"Chicago, Illinois",Nominee
Dan Barber,2008,Dan Barber,,Who's Who of Food & Beverage in America,"New York, New York",Winner
Fritz Maytag,2008,Fritz Maytag,,Lifetime Achievement,,Winner
"Kai, Sheraton Wild Horse Pass Resort & Spa",2008,"Kai, Sheraton Wild Horse Pass Resort & Spa",Jack Strong,Best Chef: Southwest,"Gila River Indian Community, Chandler, Arizona",Semifinalist
Monte's Downtown,2008,Monte's Downtown,Nathan Strei,Best Chef: Midwest,"Fargo, North Dakota",Semifinalist
"Fish Out of Water, WaterColor Inn",2008,"Fish Out of Water, WaterColor Inn",Philip Krajeck,Best Chef: South,"Santa Rosa Beach, Florida",Semifinalist
Alex,2008,Alex,Alessandro Stratta,Outstanding Chef,"Las Vegas, Nevada",Semifinalist
Rae,2008,Rae,Daniel Stern,Best Chef: Mid-Atlantic,"Philadelphia, Pennsylvania",Semifinalist
Lincoln Cafe,2008,Lincoln Cafe,Matt Steigerwald,Best Chef: Midwest,"Mount Vernon, Iowa",Semifinalist
"Starr Restaurant Organization (Alma de Cuba, Barclay Prime, Buddakan, The Continental, The Continental Mid-town, El Vez, Morimoto, Pod, Striped Bass, and Tangerine)",2008,"Starr Restaurant Organization (Alma de Cuba, Barclay Prime, Buddakan, The Continental, The Continental Mid-town, El Vez, Morimoto, Pod, Striped Bass, and Tangerine)",Stephen Starr,Outstanding Restaurateur,"Philadelphia, Pennsylvania",Semifinalist
L&M's Kitchen and Salumeria,2008,L&M's Kitchen and Salumeria,Dan Latham,Best Chef: South,"Oxford, Mississippi",Semifinalist
Fearing's at the Ritz Carlton,2008,Fearing's at the Ritz Carlton,,Best New Restaurant,"Dallas, Texas",Nominee
Bernardus Lodge,2008,Bernardus Lodge,Cal Stamenov,Best Chef: Pacific,"Carmel Valley, California",Semifinalist
Fearing's at the Ritz-Carlton,2008,Fearing's at the Ritz-Carlton,,Best New Restaurant,"Dallas, Texas",Nominee
"Patina Restaurant Group (Patina, Paperfish, Nick & Stef's Steakhouse, Pinot Provence and Catal Restaurant and Uva Bar)",2008,"Patina Restaurant Group (Patina, Paperfish, Nick & Stef's Steakhouse, Pinot Provence and Catal Restaurant and Uva Bar)",Joachim Splichal,Outstanding Restaurateur,"Los Angeles, California",Semifinalist
Falai,2008,Falai,Iacopo Falai,Best Chef: New York City,"New York, New York",Semifinalist
Centovini,2008,Centovini,Giuliano Fiorenzoli Architects/Moss,Outstanding Restaurant Design,"New York, New York",Nominee
Jumbo's,2008,Jumbo's,,America's Classics,"Miami, Florida",Winner
Marigold Kitchen,2008,Marigold Kitchen,Michael Solomonov,Rising Star Chef of the Year,"Philadelphia, Pennsylvania",Semifinalist
"Ardeo, Bardeo, The Bombay Club, The Oval Room, Rasika, 701 Restaurant",2008,"Ardeo, Bardeo, The Bombay Club, The Oval Room, Rasika, 701 Restaurant",Ashok Bajaj,Outstanding Restaurateur,"Washington, District of Columbia",Semifinalist
Bagaduce Lunch,2008,Bagaduce Lunch,,America's Classics,"Brooksville, Maine",Winner
Resto,2008,Resto,Ryan Skeen,Rising Star Chef of the Year,"New York, New York",Semifinalist
Sunfish Grill,2008,Sunfish Grill,Anthony Sindaco,Best Chef: South,"Fort Lauderdale, Florida",Semifinalist
Mrs. London's,2008,Mrs. London's,Michael London,Outstanding Pastry Chef,"Saratoga Springs, New York",Semifinalist
"Tableau, Wynn Las Vegas",2008,"Tableau, Wynn Las Vegas",Mark LoRusso,Best Chef: Southwest,"Las Vegas, Nevada",Semifinalist
The Eyrie Vineyards,2008,The Eyrie Vineyards,David Lett,Outstanding Wine & Spirits Professional,"McMinnville, Oregon",Nominee
Irma's Restaurant,2008,Irma's Restaurant,,America's Classics,"Houston, Texas",Winner
"The Besh Steakhouse, Harrah's",2008,"The Besh Steakhouse, Harrah's",Alon Shaya,Rising Star Chef of the Year,"New Orleans, Louisiana",Semifinalist
33 Liberty,2008,33 Liberty,John Malik,Best Chef: Southeast,"Greenville, South Carolina",Semifinalist
"The Dining Room in the Ritz-Carlton, Buckhead",2008,"The Dining Room in the Ritz-Carlton, Buckhead",Arnaud Berthelier,Best Chef: Southeast,"Atlanta, Georgia",Nominee
Il Grano,2008,Il Grano,Sal Marino,Best Chef: Pacific,"Los Angeles, California",Semifinalist
Amavi,2008,Amavi,David Sellers,Best Chef: Southwest,"Santa Fe, New Mexico",Semifinalist
Bellagio,2008,Bellagio,Jean-Philippe Maury,Outstanding Pastry Chef,"Las Vegas, Nevada",Semifinalist
Craigie Street Bistrot,2008,Craigie Street Bistrot,Tony Maws,Best Chef: Northeast,"Cambridge, Massachusetts",Semifinalist
A-16,2008,A-16,Nate Appleman,Rising Star Chef of the Year,"San Francisco, California",Nominee
"Balthazar, Schiller's Liquor Bar, Pastis, Morandi, Lucky Strike, and Pravda",2008,"Balthazar, Schiller's Liquor Bar, Pastis, Morandi, Lucky Strike, and Pravda",Keith McNally,Outstanding Restaurateur,"New York, New York",Semifinalist
"Nobhill, MGM Grand Hotel & Casino",2008,"Nobhill, MGM Grand Hotel & Casino",,Outstanding Service,"Las Vegas, Nevada",Semifinalist
Trellis,2008,Trellis,Brian Scheehser,Best Chef: Northwest,"Kirkland, Washington",Semifinalist
Bar Cento,2008,Bar Cento,Jonathon Sawyer,Rising Star Chef of the Year,"Cleveland, Ohio",Semifinalist
Joe's,2008,Joe's,Joe Miller,Best Chef: Pacific,"Venice, California",Semifinalist
La Provence,2008,La Provence,Rene Bajeux,Best Chef: South,"Lacombe, Louisiana",Semifinalist
The Red Drum Gastropub,2008,The Red Drum Gastropub,Lauren Mitterer,Outstanding Pastry Chef,"Mount Pleasant, South Carolina",Semifinalist
Spruce,2008,Spruce,,Best New Restaurant,"San Francisco, California",Semifinalist
South,2008,South,Jeremy Sabo,Rising Star Chef of the Year,"Raleigh, North Carolina",Semifinalist
Blue Velvet,2008,Blue Velvet,Kris Morningstar,Rising Star Chef of the Year,"Los Angeles, California",Semifinalist
Mortimer's,2008,Mortimer's,Jonathan Mortimer,Best Chef: Northwest,"Boise, Idaho",Semifinalist
"Radius, Myers & Chang, Via Matta, and Great Bay",2008,"Radius, Myers & Chang, Via Matta, and Great Bay",Christopher Myers,Outstanding Restaurateur,"Boston, Massachusetts",Semifinalist
Minibar by Jose Andres,2008,Minibar by Jose Andres,José Andrés,Outstanding Chef,"Washington, District of Columbia",Nominee
515,2008,515,Paul Myers,Best Chef: Northwest,"Missoula, Montana",Semifinalist
The Four Rivers,2008,The Four Rivers,Ravin Nakjaroen,Best Chef: South,"Fort Lauderdale, Florida",Semifinalist
One Sixtyblue,2008,One Sixtyblue,Martial Noguier,Best Chef: Great Lakes,"Chicago, Illinois",Semifinalist
Cafe Boulud,2008,Cafe Boulud,Gavin Kaysen,Rising Star Chef of the Year,"New York, New York",Winner
Casa Mono,2008,Casa Mono,Andy Nusser,Best Chef: New York City,"New York, New York",Semifinalist
All'Angelo,2008,All'Angelo,Mirko Paderno,Best Chef: Pacific,"San Francisco, California",Semifinalist
"Morimoto, NYC",2008,"Morimoto, NYC",Tadao Ando Architects and Associates,Outstanding Restaurant Design,"New York, New York",Winner
The Riversite,2008,The Riversite,Thomas Peschong,Best Chef: Midwest,"Mequon, Wisconsin",Semifinalist
Milk & Honey,2008,Milk & Honey,Sasha Petraske,Outstanding Wine & Spirits Professional,"New York, New York",Semifinalist
SideBern's,2008,SideBern's,Jeannie Pierola,Best Chef: South,"Tampa, Florida",Semifinalist
Memo Productions,2007,Memo Productions,,Outstanding Restaurant Graphics,"Los Angeles, California",Nominee
Jim Clendenen,2007,Jim Clendenen,,Who's Who of Food & Beverage in America,"Santa Maria, California",Winner
Primanti Brothers,2007,Primanti Brothers,,America's Classics,"Pittsburgh, Pennsylvania",Winner
Tafia,2007,Tafia,Monica Pope,Best Chef: Southwest,"Houston, Texas",Nominee
Michael Pollan,2007,Michael Pollan,,Who's Who of Food & Beverage in America,"Berkeley, California",Winner
Frontera Grill,2007,Frontera Grill,,Outstanding Restaurant,"Chicago, Illinois",Winner
Restaurant Le Reve,2007,Restaurant Le Reve,Andrew Weissman,Best Chef: Southwest,"San Antonio, Texas",Nominee
,2007,,,Outstanding Restaurant,"Durham, North Carolina",Nominee
Sea Saw,2007,Sea Saw,Nobuo Fukuda,Best Chef: Southwest,"Scottsdale, Arizona",Winner
Weaver D's,2007,Weaver D's,,America's Classics,"Athens, Georgia",Winner
Weaver's D,2007,Weaver's D,,America's Classics,"Athens, Georgia",Winner
José Andrés,2007,José Andrés,,Who's Who of Food & Beverage in America,"Washington, District of Columbia",Winner
Mary Elaine's at the Phoenician,2007,Mary Elaine's at the Phoenician,,Outstanding Wine Service,"Scottsdale, Arizona",Nominee
i Trulli,2007,i Trulli,,Outstanding Wine Service,"New York, New York",Nominee
Michel Richard Citronelle,2007,Michel Richard Citronelle,,Outstanding Wine Service,"Washington, District of Columbia",Winner
Chanterelle,2007,Chanterelle,David Waltuck,Best Chef: New York City,"New York, New York",Winner
Morimoto,2007,Morimoto,Tadao Ando Architect and Associates,Outstanding Restaurant Design,"New York, New York",Nominee
Bobby Flay,2007,Bobby Flay,,Who's Who of Food & Beverage in America,"New York, New York",Winner
Driskill Grill,2007,Driskill Grill,David Bull,Best Chef: Southwest,"Austin, Texas",Nominee
Macrina Bakery & Cafe,2007,Macrina Bakery & Cafe,Leslie Mackie,Outstanding Pastry Chef,"Seattle, Washington",Nominee
Bartlotta's Lake Park Bistro,2007,Bartlotta's Lake Park Bistro,Adam Siegel,Best Chef: Midwest,"Milwaukee, Wisconsin",Nominee
Art Smith,2007,Art Smith,,Humanitarian of the Year,,Winner
HTM Consultants/Marcassin Winery,2007,HTM Consultants/Marcassin Winery,Helen Turley,Outstanding Wine & Spirits Professional,"Calistoga, California",Nominee
Xing Restaurant,2007,Xing Restaurant,Lewis.Tsurumaki.Lewis LTL Architects,Outstanding Restaurant Design,"New York, New York",Winner
Mary Elaine's at The Phoenician,2007,Mary Elaine's at The Phoenician,,Outstanding Wine Service,"Scottsdale, Arizona",Nominee
Buddakan,2007,Buddakan,Baron and Baron,Outstanding Restaurant Graphics,"New York, New York",Winner
Nobu Fifty Seven,2007,Nobu Fifty Seven,Rockwell Group,Outstanding Restaurant Design,"New York, New York",Nominee
L'Atelier de Joel Robuchon,2007,L'Atelier de Joel Robuchon,,Best New Restaurant,"New York, New York",Winner
Avenues at The Peninsula Hotel,2007,Avenues at The Peninsula Hotel,Graham Elliot Bowles,Rising Star Chef of the Year,"Chicago, Illinois",Nominee
Room 4 Dessert,2007,Room 4 Dessert,Will Goldfarb,Outstanding Pastry Chef,"New York, New York",Nominee
Pacific Time,2007,Pacific Time,Jonathan Eismann,Best Chef: South,"Miami Beach, Florida",Nominee
Cut,2007,Cut,,Best New Restaurant,"Beverly Hills, California",Nominee
Balthazar,2007,Balthazar,Keith McNally,Outstanding Restaurateur,"New York, New York",Nominee
Duckhorn Vineyards,2007,Duckhorn Vineyards,Dan Duckhorn,Outstanding Wine & Spirits Professional,"St. Helena, California",Nominee
Dorie Greenspan,2007,Dorie Greenspan,,Who's Who of Food & Beverage in America,"New York, New York",Winner
Restaurant Eve,2007,Restaurant Eve,Cathal Armstrong,Best Chef: Mid-Atlantic,"Old Town Alexandria, Virginia",Nominee
Ridge Vineyards,2007,Ridge Vineyards,Paul Draper,Outstanding Wine & Spirits Professional,"Cupertino, California",Winner
Aunt Carrie's,2007,Aunt Carrie's,,America's Classics,"Narragansett, Rhode Island",Winner
Park Kitchen,2007,Park Kitchen,Scott Dolich,Best Chef: Northwest,"Portland, Maine",Nominee
Jardeniere,2007,Jardeniere,Traci Des Jardins,Best Chef: Pacific,"San Francisco, California",Winner
Doe's Eat Place,2007,Doe's Eat Place,,America's Classics,"Greenville, Mississippi",Winner
King Cocktail,2007,King Cocktail,Dale Degroff,Outstanding Wine & Spirits Professional,"New York, New York",Nominee
I Trulli,2007,I Trulli,,Outstanding Wine Service,"New York, New York",Nominee
The Pickwick,2007,The Pickwick,,America's Classics,"Duluth, Minnesota",Winner
Barbara Kafka,2007,Barbara Kafka,,Lifetime Achievement,,Winner
Brookville Hotel,2007,Brookville Hotel,,America's Classics,"Abilene, Kansas",Winner
Stand,2007,Stand,Base Design,Outstanding Restaurant Graphics,"New York, New York",Nominee
Aureole,2006,Aureole,,Outstanding Wine Service,"Las Vegas, Nevada",Winner
Lumiere,2006,Lumiere,Michael Leviton,Best Chef: Northeast,"West Newton, Massachusetts",Nominee
BreadLine,2006,BreadLine,Mark Furstenberg,Best Chef: Mid-Atlantic,"Washington, District of Columbia",Nominee
davidburke & donatella,2006,davidburke & donatella,David Burke,Best Chef: New York City,"New York, New York",Nominee
Barney Greengrass,2006,Barney Greengrass,,America's Classics,"New York, New York",Winner
Wolfgang Puck Fine Dining Group,2006,Wolfgang Puck Fine Dining Group,Wolfgang Puck,Outstanding Restaurateur,"Las Vegas, Nevada",Nominee
Striped Bass,2006,Striped Bass,Christopher Lee,Best Chef: Mid-Atlantic,"Philadelphia, Pennsylvania",Nominee
Lamperia,2006,Lamperia,Scott Carsberg,Best Chef: Northwest,"Seattle, Washington",Winner
Gotham Bar & Grill,2006,Gotham Bar & Grill,Alfred Portale,Outstanding Chef,"New York, New York",Winner
Joel Robuchon at the Mansion,2006,Joel Robuchon at the Mansion,,Best New Restaurant,"Las Vegas, Nevada",Nominee
Il Fornello,2006,Il Fornello,Giannone Associates Architects,Outstanding Restaurant Design,"Toronto, Ontario",Nominee
Taylor's Automatic Refresher,2006,Taylor's Automatic Refresher,,America's Classics,"St. Helena, California",Winner
Sue Conley,2006,Sue Conley,,Who's Who of Food & Beverage in America,"Point Reyes Station, California",Winner
Polly's Pancake Parlor,2006,Polly's Pancake Parlor,,America's Classics,"Sugar Hill, New Hampshire",Winner
"B&G Oysters, Ltd.",2006,"B&G Oysters, Ltd.",James Barondess,Outstanding Restaurant Graphics,"Boston, Massachusetts",Nominee
Gray Kunz,2006,Gray Kunz,,Who's Who of Food & Beverage in America,"New York, New York",Winner
Jean-Louis,2006,Jean-Louis,Jean-Louis Gerin,Best Chef: Northeast,"Greenwich, Connecticut",Winner
The Museum of the American Cocktail trade,2006,The Museum of the American Cocktail trade,Dale Degroff,Outstanding Wine & Spirits Professional,"Malverne, New York",Nominee
Judith Jones,2006,Judith Jones,,Lifetime Achievement,,Winner
Jardiniére,2006,Jardiniére,Traci Des Jardins,Best Chef: California,"San Francisco, California",Nominee
Louie Mueller's Brbecue,2006,Louie Mueller's Brbecue,,America's Classics,"Taylor, Texas",Winner
Louie Mueller BBQ,2006,Louie Mueller BBQ,,America's Classics,"Taylor, Texas",Winner
Dahlia Lounge,2006,Dahlia Lounge,,Outstanding Restaurant,"Seattle, Washington",Nominee
Haku,2006,Haku,Evan Douglis Studio,Outstanding Restaurant Design,"New York, New York",Nominee
John's Roast Pork,2006,John's Roast Pork,,America's Classics,"Philadelphia, Pennsylvania",Winner
Jean Joho,2006,Jean Joho,,Who's Who of Food & Beverage in America,"Chicago, Illinois",Winner
Bowens Island Restaurant,2006,Bowens Island Restaurant,,America's Classics,"Charleston, South Carolina",Winner
Marche,2006,Marche,Stephanie Kimmel,Best Chef: Northwest,"Eugene, Oregon",Nominee
Spring,2006,Spring,Shawn McClain,Best Chef: Midwest,"Chicago, Illinois",Winner
Lagomarcino's,2006,Lagomarcino's,,America's Classics,"Moline, Illinois",Winner
Matsuhisa,2006,Matsuhisa,Nobu Matsuhisa,Outstanding Chef,"Los Angeles, California",Nominee
Commander's Palace,2006,Commander's Palace,Carlos Guia,Best Chef: Southwest,"Las Vegas, Nevada",Nominee
Country,2006,Country,Mucca Design Corporation,Outstanding Restaurant Graphics,"New York, New York",Nominee
Peggy Smith,2006,Peggy Smith,,Who's Who of Food & Beverage in America,"Petaluma,Point Reyes Station, California",Winner
Fleur de Lys,2006,Fleur de Lys,Hubert Keller,Outstanding Chef,"San Francisco, California",Nominee
"Maestro at The Ritz-Carlton, Tyson's Corner",2006,"Maestro at The Ritz-Carlton, Tyson's Corner",Fabio Trabocchi,Best Chef: Mid-Atlantic,"McLean, Virginia",Winner
The Dinex Group,2006,The Dinex Group,Daniel Johnnes,Outstanding Wine & Spirits Professional,"New York, New York",Winner
New Orleans Restaurant Community,2006,New Orleans Restaurant Community,,Humanitarian of the Year,,Winner
Kermit Lynch,2006,Kermit Lynch,,Who's Who of Food & Beverage in America,"Berkeley, California",Winner
Ari Weinzweig,2006,Ari Weinzweig,,Who's Who of Food & Beverage in America,"Ann Arbor, Michigan",Winner
Abacus,2006,Abacus,Tre Wilcox,Rising Star Chef of the Year,"Dallas, Texas",Nominee
Bartolotta Ristorante di Mare at Wynn Resort,2006,Bartolotta Ristorante di Mare at Wynn Resort,,Best New Restaurant,"Las Vegas, Nevada",Nominee
Hamura's Saimin Stand,2006,Hamura's Saimin Stand,,America's Classics,"Lihue, Kauai, Hawaii",Winner
Norman's,2005,Norman's,,Outstanding Restaurant,"Coral Gables, Florida",Nominee
Charlie's Sandwich Shoppe,2005,Charlie's Sandwich Shoppe,,America's Classics,"Boston, Massachusetts",Winner
Carol Field,2005,Carol Field,,Who's Who of Food & Beverage in America,"San Francisco, California",Winner
Jacques Pépin,2005,Jacques Pépin,,Lifetime Achievement,,Winner
L'Impero,2005,L'Impero,Scott Conant,Best Chef: New York City,"New York, New York",Nominee
Corby Kummer,2005,Corby Kummer,,Who's Who of Food & Beverage in America,"Boston, Massachusetts",Winner
"Allied Domecq Wines, USA",2005,"Allied Domecq Wines, USA",Evan Goldstein,Outstanding Wine & Spirits Professional,"Healdsburg, California",Nominee
Spice Market,2005,Spice Market,,Best New Restaurant,"New York, New York",Nominee
Cru,2005,Cru,,Best New Restaurant,"New York, New York",Nominee
Gabrielle,2005,Gabrielle,Greg Sonnier,Best Chef: Southeast,"New Orleans, Louisiana",Nominee
Galatoire's,2005,Galatoire's,,Outstanding Restaurant,"New Orleans, Louisiana",Winner
Lampreia,2005,Lampreia,Scott Carsberg,Best Chef: Northwest/Hawaii,"Seattle, Washington",Nominee
Gotham Bar and Grill,2005,Gotham Bar and Grill,Alfred Portale,Outstanding Chef,"New York, New York",Nominee
El Chorro Lodge,2005,El Chorro Lodge,,America's Classics,"Paradise Valley, Arizona",Winner
Yuca's,2005,Yuca's,,America's Classics,"Los Angeles, California",Winner
Spago Beverly Hills,2005,Spago Beverly Hills,,Outstanding Service,"Beverly Hills, California",Winner
"Solea Restaurant, W Mexico City",2005,"Solea Restaurant, W Mexico City",Studio Gaia,Outstanding Restaurant Design,Mexico City,Winner
