name,year,place,chef,category,location,ranking
Chifa,2010,Chifa,,Best New Restaurant,"Philadelphia, Pennsylvania",Semifinalist
Michael Batterberry,2010,Michael Batterberry,,Lifetime Achievement,"Founders, ""Food & Wine"" and ""Food Arts""",Winner
Ariane Batterberry,2010,Ariane Batterberry,,Lifetime Achievement,"Founders, ""Food & Wine"" and ""Food Arts""",Winner
Five and Ten,2010,Five and Ten,Hugh Acheson,Best Chef: Southeast,"Athens, Georgia",Nominee
Poppy,2010,Poppy,Jerry Traunfeld,Outstanding Chef,"Seattle, Washington",Semifinalist
Anthos,2010,Anthos,Michael Psilakis,Best Chef: New York City,"New York, New York",Semifinalist
Cypress,2010,Cypress,Craig Deihl,Best Chef: Southeast,"Charleston, South Carolina",Semifinalist
RDG + Bar Annie,2010,RDG + Bar Annie,Robert Del Grande,Outstanding Chef,"Houston, Texas",Semifinalist
Ping,2010,Ping,,Best New Restaurant,"Portland, Oregon",Semifinalist
Lark Creek Restaurant Group,2010,Lark Creek Restaurant Group,Michael Dellar,Outstanding Restaurateur,"San Francisco, California",Semifinalist
Babbo,2010,Babbo,,Outstanding Restaurant,"New York, New York",Nominee
Dario's Brasserie,2010,Dario's Brasserie,Dario Schicke,Best Chef: Midwest,"Omaha, Nebraska",Semifinalist
Il Casale,2010,Il Casale,Dante DeMagistris,Best Chef: Northeast,"Belmont, Massachusetts",Semifinalist
Vetri,2010,Vetri,,Outstanding Service,"Philadelphia, Pennsylvania",Nominee
Bona Terra,2010,Bona Terra,Douglass Dick,Best Chef: Mid-Atlantic,"Sharpsburg, Pennsylvania",Semifinalist
The Corson Building,2010,The Corson Building,Matt Dillon,Best Chef: Northwest,"Seattle, Washington",Semifinalist
Coyote Cafe,2010,Coyote Cafe,Eric DiStefano,Best Chef: Southwest,"Santa Fe, New Mexico",Semifinalist
New Rivers,2010,New Rivers,W. Bruce Tillinghast,Best Chef: Northeast,"Providence, Rhode Island",Semifinalist
Dressler,2010,Dressler,Polo Dobkin,Best Chef: New York City,"New York, New York",Semifinalist
Snake River Grill,2010,Snake River Grill,Jeff Drew,Best Chef: Northwest,"Jackson, Wyoming",Semifinalist
Marea,2010,Marea,,Best New Restaurant,"New York, New York",Winner
Babbo,2010,Babbo,,Outstanding Restaurant,"New York, New York",Nominee
Penrose Room at the Broadmoor,2010,Penrose Room at the Broadmoor,,Outstanding Service,"Colorado Springs, Colorado",Semifinalist
Pelago at the Raffelo Hotel,2010,Pelago at the Raffelo Hotel,,Best New Restaurant,"Chicago, Illinois",Semifinalist
Veritas,2010,Veritas,Gregory Pugin,Rising Star Chef of the Year,"New York, New York",Nominee
Avenues at the Peninsula,2010,Avenues at the Peninsula,Curtis Duffy,Best Chef: Great Lakes,"Chicago, Illinois",Semifinalist
Wine Library TV/Wine Library,2010,Wine Library TV/Wine Library,Gary Vaynerchuk,Outstanding Wine & Spirits Professional,"Springfield, New Jersey",Semifinalist
Bin 36,2010,Bin 36,Brian Duncan,Outstanding Wine & Spirits Professional,"Chicago, Illinois",Semifinalist
Range,2010,Range,Michelle Polzine,Outstanding Pastry Chef,"San Francisco, California",Semifinalist
Chipotle Mexican Grill,2010,Chipotle Mexican Grill,Steve Ells,Outstanding Restaurateur,"Denver, Colorado",Semifinalist
Walker's Drive-In,2010,Walker's Drive-In,Derek Emerson,Best Chef: South,"Jackson, Mississippi",Semifinalist
Table,2010,Table,Jacob Sessoms,Best Chef: Southeast,"Asheville, North Carolina",Semifinalist
Picasso at Bellagio,2010,Picasso at Bellagio,Julian Serrano,Outstanding Chef,"Las Vegas, Nevada",Semifinalist
Volt,2010,Volt,Bryan Voltaggio,Best Chef: Mid-Atlantic,"Frederick, Maryland",Nominee
Restaurant Iris,2010,Restaurant Iris,Kelly English,Best Chef: Southeast,"Memphis, Tennessee",Semifinalist
Patina,2010,Patina,,Outstanding Wine Service,"Los Angeles, California",Semifinalist
June,2010,June,Josh Adams,Rising Star Chef of the Year,"Peoria Heights, Illinois",Semifinalist
Fork,2010,Fork,Terence Feury,Best Chef: Mid-Atlantic,"Philadelphia, Pennsylvania",Semifinalist
Dinette,2010,Dinette,Sonja Finn,Rising Star Chef of the Year,"Pittsburgh, Pennsylvania",Semifinalist
Maison Blanche,2010,Maison Blanche,Jose Martinez,Best Chef: South,"Longboat Key, Florida",Semifinalist
Six89,2010,Six89,Mark Fischer,Best Chef: Southwest,"Carbondale, Colorado",Semifinalist
Boka,2010,Boka,Giuseppe Tentori,Best Chef: Great Lakes,"Chicago, Illinois",Semifinalist
Telepan,2010,Telepan,Bill Telepan,Best Chef: New York City,"New York, New York",Semifinalist
Beast,2010,Beast,Naomi Pomeroy,Best Chef: Northwest,,Nominee
K Restaurant Wine Bar,2010,K Restaurant Wine Bar,Kevin Fonzo,Best Chef: South,"Orlando, Florida",Semifinalist
Redd,2010,Redd,Nicole Plue,Outstanding Pastry Chef,"Yountville, California",Winner
"Dahlia Bakery, Dahlia Lounge, Etta's, Lola, Palace Kitchen, Serious Pie",2010,"Dahlia Bakery, Dahlia Lounge, Etta's, Lola, Palace Kitchen, Serious Pie",Tom Douglas,Outstanding Restaurateur,"Seattle, Washington",Nominee
Tarbell's,2010,Tarbell's,,Outstanding Wine Service,"Phoenix, Arizona",Semifinalist
Choice Market,2010,Choice Market,Evan Douglis Studio,Outstanding Restaurant Design,"Brooklyn, New York",Nominee
Restaurant Tallent,2010,Restaurant Tallent,David Tallent,Best Chef: Great Lakes,"Bloomington, Indiana",Semifinalist
Centro,2010,Centro,George Formaro,Best Chef: Midwest,"Des Moines, Iowa",Semifinalist
Locande Verde,2010,Locande Verde,,Best New Restaurant,"New York, New York",Nominee
Adesso,2010,Adesso,,Best New Restaurant,"Oakland, California",Semifinalist
Aerie Restaurant & Lounge at Grand Traverse Resort & Spa,2010,Aerie Restaurant & Lounge at Grand Traverse Resort & Spa,,Outstanding Service,"Acme, Michigan",Semifinalist
La Mer at Halekulani,2010,La Mer at Halekulani,,Outstanding Service,"Honolulu, Hawaii",Semifinalist
Carlos',2010,Carlos',,Outstanding Service,"Highland Park, Illinois",Semifinalist
Ubuntu,2010,Ubuntu,Deanie Fox,Outstanding Pastry Chef,"Napa, California",Semifinalist
The Slanted Door,2010,The Slanted Door,Charles Phan,Outstanding Chef,"San Francisco, California",Nominee
Fox Restaurant Concepts,2010,Fox Restaurant Concepts,Sam Fox,Outstanding Restaurateur,"Scottsdale, Arizona",Semifinalist
Arrows,2010,Arrows,Clark Frasier,Best Chef: Northeast,"Ogunquit, Maine",Winner
Cucharamama,2010,Cucharamama,Maricel Presilla,Best Chef: Mid-Atlantic,"Hoboken, New Jersey",Semifinalist
Marea,2010,Marea,Michael White,Best Chef: New York City,"New York, New York",Nominee
Vincent,2010,Vincent,Vincent Francoual,Best Chef: Midwest,"Minneapolis, Minnesota",Semifinalist
La Toque,2010,La Toque,,Outstanding Wine Service,"Napa, California",Semifinalist
Crook's Corner,2010,Crook's Corner,,Outstanding Restaurant,"Chapel Hill, North Carolina",Semifinalist
Clear Creek Distillery,2010,Clear Creek Distillery,Stephen McCarthy,Outstanding Wine & Spirits Professional,"Portland, Oregon",Semifinalist
Straight Wharf Restaurant,2010,Straight Wharf Restaurant,Gabriel Frasca,Best Chef: Northeast,"Nantucket, Massachusetts",Semifinalist
Dovetail,2010,Dovetail,John Fraser,Best Chef: New York City,"New York, New York",Semifinalist
Hiroshi Eurasian Tapas,2010,Hiroshi Eurasian Tapas,Hiroshi Fukui,Best Chef: Pacific,"Honolulu, Hawaii",Semifinalist
Spring Hill,2010,Spring Hill,Mark Fuller,Best Chef: Northwest,"Seattle, Washington",Semifinalist
J & G Steakhouse,2010,J & G Steakhouse,,Best New Restaurant,"Washington, District of Columbia",Semifinalist
Frances,2010,Frances,,Best New Restaurant,"San Francisco, California",Nominee
Il Casale,2010,Il Casale,,Best New Restaurant,"Belmont, Massachusetts",Semifinalist
Il Capriccio,2010,Il Capriccio,,Outstanding Wine Service,"Waltham, Massachusetts",Semifinalist
Frances,2010,Frances,,Best New Restaurant,"San Francisco, California",Nominee
Anchovies & Olives,2010,Anchovies & Olives,,Best New Restaurant,"Seattle, Washington",Semifinalist
Monarch,2010,Monarch,Josh Galliano,Best Chef: Midwest,"St. Louis, Missouri",Semifinalist
Joe's,2010,Joe's,Beverly Gannon,Best Chef: Pacific,"Wailea, Hawaii",Semifinalist
Rio Mar,2010,Rio Mar,Adolfo Garcia,Best Chef: South,"New Orleans, Louisiana",Semifinalist
Restaurant Charlie at the Palazzo,2010,Restaurant Charlie at the Palazzo,Vanessa Garcia,Rising Star Chef of the Year,"Las Vegas, Nevada",Semifinalist
Koo Zee Doo,2010,Koo Zee Doo,David Gilberg,Rising Star Chef of the Year,"Philadelphia, Pennsylvania",Semifinalist
Good Food on Montford,2010,Good Food on Montford,,Best New Restaurant,"Charlotte, North Carolina",Semifinalist
Koo Zee Doo,2010,Koo Zee Doo,David Gilberg,Best Chef: Mid-Atlantic,"Philadelphia, Pennsylvania",Semifinalist
Koo Zoo Doo,2010,Koo Zoo Doo,,Best New Restaurant,"Philadelphia, Pennsylvania",Semifinalist
Woodfire Grill,2010,Woodfire Grill,Kevin Gillespie,Rising Star Chef of the Year,"Atlanta, Georgia",Semifinalist
Obelisk,2010,Obelisk,Peter Pastan,Best Chef: Mid-Atlantic,"Washington, District of Columbia",Nominee
Garden at the Cellar,2010,Garden at the Cellar,Will Gilson,Rising Star Chef of the Year,"Cambridge, Massachusetts",Semifinalist
RN74,2010,RN74,,Best New Restaurant,"San Francisco, California",Nominee
Locanda Verde,2010,Locanda Verde,,Best New Restaurant,"New York, New York",Nominee
The Standard Grill,2010,The Standard Grill,Pandiscio Co.,Outstanding Restaurant Graphics,"New York, New York",Winner
Woodberry Kitchen,2010,Woodberry Kitchen,Spike Gjerde,Best Chef: Mid-Atlantic,"Baltimore, Maryland",Semifinalist
Eventide,2010,Eventide,,Best New Restaurant,"Arlington, Virginia",Semifinalist
Locande Verde,2010,Locande Verde,,Best New Restaurant,"New York, New York",Nominee
Flour + Water,2010,Flour + Water,,Best New Restaurant,"San Francisco, California",Nominee
The American Restaurant,2010,The American Restaurant,,Outstanding Restaurant,"Kansas City, Missouri",Semifinalist
Michael's Genuine Food & Drink,2010,Michael's Genuine Food & Drink,Hedy Goldsmith,Outstanding Pastry Chef,"Miami, Florida",Semifinalist
Spiaggia,2010,Spiaggia,,Outstanding Service,"Chicago, Illinois",Semifinalist
Quilceda Creek,2010,Quilceda Creek,Alex Golitzin,Outstanding Wine & Spirits Professional,"Snohomish, Washington",Semifinalist
Koo Zee Doo,2010,Koo Zee Doo,Carla Goncalves,Outstanding Pastry Chef,"Philadelphia, Pennsylvania",Semifinalist
Goode Company Restaurants,2010,Goode Company Restaurants,Jim Goode,Outstanding Restaurateur,"Houston, Texas",Semifinalist
Rivera,2010,Rivera,John Rivera Sedlar,Best Chef: Pacific,"Los Angeles, California",Semifinalist
Eleven Madison Park,2010,Eleven Madison Park,Daniel Humm,Best Chef: New York City,"New York, New York",Winner
Cibo Matto at the Wit,2010,Cibo Matto at the Wit,,Best New Restaurant,"Chicago, Illinois",Semifinalist
Goode Company Restaurants,2010,Goode Company Restaurants,Levi Goode,Outstanding Restaurateur,"Houston, Texas",Semifinalist
BLT Steak at the Betsy Hotel,2010,BLT Steak at the Betsy Hotel,Sam Gorenstein,Rising Star Chef of the Year,"MIami Beach, Florida",Semifinalist
Toro Bravo,2010,Toro Bravo,John Gorham,Best Chef: Northwest,"Portland, Oregon",Semifinalist
Tria Restaurants and Fermentation School,2010,Tria Restaurants and Fermentation School,Michael McCaulley,Outstanding Wine & Spirits Professional,"Philadelphia, Pennsylvania",Semifinalist
"Boulevard, Epic, Farallon, Jardiniere, Martini House, Nick's Cove & Cottages, and Waterbar",2010,"Boulevard, Epic, Farallon, Jardiniere, Martini House, Nick's Cove & Cottages, and Waterbar",Pat Kuleto,Outstanding Restaurateur,"San Francisco, California",Nominee
Bistro Aix,2010,Bistro Aix,Tom Gray,Best Chef: South,"Jacksonville, Florida",Semifinalist
Forest Grill,2010,Forest Grill,Brian Polcyn,Best Chef: Great Lakes,"Birmingham, Michigan",Semifinalist
Acquerello,2010,Acquerello,,Outstanding Wine Service,"San Francisco, California",Semifinalist
Acquerello,2010,Acquerello,,Outstanding Service,"San Francisco, California",Semifinalist
Pigalle,2010,Pigalle,Marc Orfaly,Best Chef: Northeast,"Boston, Massachusetts",Nominee
The Brooklyn Brewery,2010,The Brooklyn Brewery,Garrett Oliver,Outstanding Wine & Spirits Professional,"Brooklyn, New York",Nominee
Mercat a la Planxa,2010,Mercat a la Planxa,Korn Design,Outstanding Restaurant Graphics,"Chicago, Illinois",Nominee
Proof,2010,Proof,Carly Groben,Rising Star Chef of the Year,"Des Moines, Iowa",Semifinalist
Vincent's on Camelback,2010,Vincent's on Camelback,,Outstanding Restaurant,"Phoenix, Arizona",Semifinalist
Boulevard,2010,Boulevard,,Outstanding Restaurant,"San Francisco, California",Nominee
Wallse,2010,Wallse,Kurt Gutenbrunner,Best Chef: New York City,"New York, New York",Semifinalist
York Street,2010,York Street,Sharon Hage,Best Chef: Southwest,"Dallas, Texas",Semifinalist
Boulevard,2010,Boulevard,,Outstanding Restaurant,"San Francisco, California",Nominee
The Fountain Restaurant at Four Seasons,2010,The Fountain Restaurant at Four Seasons,,Outstanding Service,"Philadelphia, Pennsylvania",Semifinalist
La Belle Vie,2010,La Belle Vie,,Outstanding Wine Service,"Minneapolis, Minnesota",Semifinalist
Boulevard,2010,Boulevard,,Outstanding Restaurant,"San Francisco, California",Nominee
Restaurant Gary Danko,2010,Restaurant Gary Danko,,Outstanding Wine Service,"San Francisco, California",Nominee
Zingerman's Roadhouse,2010,Zingerman's Roadhouse,Alex Young,Best Chef: Great Lakes,"Ann Arbor, Michigan",Nominee
The North Fork Table & Inn,2010,The North Fork Table & Inn,Gerry Hayden,Best Chef: Northeast,"Southold, New York",Semifinalist
Restaurant Eve,2010,Restaurant Eve,Cathal Armstrong,Best Chef: Mid-Atlantic,"Alexandria, Virginia",Nominee
Lettuce Entertain You Enterprises,2010,Lettuce Entertain You Enterprises,Alpana Singh,Outstanding Wine & Spirits Professional,"Chicago, Illinois",Semifinalist
Fore Street,2010,Fore Street,Sam Hayward,Outstanding Chef,"Portland, Maine",Semifinalist
Fore Street,2010,Fore Street,,Outstanding Restaurant,"Portland, Maine",Semifinalist
La Becasse,2010,La Becasse,Guillaume Hazael-Massieux,Best Chef: Great Lakes,"Maple City, Michigan",Semifinalist
Kauai Grill at the St. Regis Princeville,2010,Kauai Grill at the St. Regis Princeville,Colin Hazama,Rising Star Chef of the Year,"Kaua'i, Hawaii",Semifinalist
Lot 12 Public House,2010,Lot 12 Public House,Damian Heath,Best Chef: Southeast,"Berkeley Springs, West Virginia",Semifinalist
Minibar,2010,Minibar,José Andrés,Outstanding Chef,"Washington, District of Columbia",Nominee
Sea Bar,2010,Sea Bar,Michael Andrzejewski,Best Chef: Northeast,"Buffalo, New York",Semifinalist
WD-50,2010,WD-50,Wylie Dufresne,Best Chef: New York City,"New York, New York",Nominee
Higgins Restaurant and Bar,2010,Higgins Restaurant and Bar,,Outstanding Restaurant,"Portland, Oregon",Semifinalist
Francine Bistro,2010,Francine Bistro,Brian Hill,Best Chef: Northeast,"Camden, Maine",Semifinalist
Hirsch Vineyards,2010,Hirsch Vineyards,David Hirsch,Outstanding Wine & Spirits Professional,"Cazadero, California",Semifinalist
Etoile Restaurant at Domaine Chandon,2010,Etoile Restaurant at Domaine Chandon,Perry Hoffman,Rising Star Chef of the Year,"Yountville, California",Semifinalist
Nobhill Tavern at MGM Grand Hotel & Casino,2010,Nobhill Tavern at MGM Grand Hotel & Casino,,Outstanding Service,"Las Vegas, Nevada",Semifinalist
Glitretind at Stein Eriksen Lodge,2010,Glitretind at Stein Eriksen Lodge,,Outstanding Wine Service,"Park City, Utah",Semifinalist
Nana's,2010,Nana's,Scott Howell,Best Chef: Southeast,"Durham, North Carolina",Semifinalist
Joel Robuchon at MGM Grand Hotel & Casino,2010,Joel Robuchon at MGM Grand Hotel & Casino,Kamel Guechida,Outstanding Pastry Chef,"Las Vegas, Nevada",Nominee
"Victoria & Albert's, Disney's Grand Floridian Resort & Spa",2010,"Victoria & Albert's, Disney's Grand Floridian Resort & Spa",Scott Hunnel,Best Chef: South,"Orlando, Florida",Semifinalist
RM Seafood at Mandalay Bay Resort & Casino,2010,RM Seafood at Mandalay Bay Resort & Casino,Rick Moonen,Best Chef: Southwest,"Las Vegas, Nevada",Nominee
Salty Tart Bakery,2010,Salty Tart Bakery,Michelle Gayer,Outstanding Pastry Chef,"Minneapolis, Minnesota",Nominee
R Bistro,2010,R Bistro,Regina Mehallick,Best Chef: Great Lakes,"Indianapolis, Indiana",Semifinalist
Stephan Pyles,2010,Stephan Pyles,Stephan Pyles,Outstanding Chef,"Dallas, Texas",Semifinalist
Aldea,2010,Aldea,George Mendes,Best Chef: New York City,"New York, New York",Semifinalist
Bar La Grassa,2010,Bar La Grassa,,Best New Restaurant,"Minneapolis, Minnesota",Semifinalist
Komi,2010,Komi,Johnny Monis,Rising Star Chef of the Year,"Washington, District of Columbia",Nominee
The Flaky Tart,2010,The Flaky Tart,Marie Jackson,Outstanding Pastry Chef,"Atlantic Highlands, New Jersey",Semifinalist
Osteria Mozza,2010,Osteria Mozza,Matt Molina,Best Chef: Pacific,"Los Angeles, California",Nominee
Calumet Fisheries,2010,Calumet Fisheries,,America's Classics,"Chicago, Illinois",Winner
Zest,2010,Zest,Linda Duerr,Best Chef: Midwest,"Leawood, Kansas",Semifinalist
RN74,2010,RN74,,Best New Restaurant,"San Francisco, California",Nominee
Avec,2010,Avec,Koren Grieveson,Best Chef: Great Lakes,"Chicago, Illinois",Winner
RN74,2010,RN74,,Best New Restaurant,"San Francisco, California",Nominee
Michael Mina,2010,Michael Mina,,Outstanding Service,"San Francisco, California",Nominee
"Hearth, Terroir",2010,"Hearth, Terroir",Paul Grieco,Outstanding Wine & Spirits Professional,"New York, New York",Nominee
Restaurant Martin,2010,Restaurant Martin,,Best New Restaurant,"Santa Fe, New Mexico",Semifinalist
The French Laundry,2010,The French Laundry,Timothy Hollingsworth,Rising Star Chef of the Year,"Yountville, California",Winner
Wayne Kostroski,2010,Wayne Kostroski,,Humanitarian of the Year,,Winner
Jennifer James 101,2010,Jennifer James 101,Jennifer James,Best Chef: Southwest,"Albuquerque, New Mexico",Semifinalist
James at the Mill,2010,James at the Mill,Miles James,Best Chef: South,"Johnson, Arkansas",Semifinalist
The Perfect Caper,2010,The Perfect Caper,Jeanie Roland,Best Chef: South,"Punta Gorda, Florida",Semifinalist
Rigsby's Kitchen,2010,Rigsby's Kitchen,Kent Rigsby,Best Chef: Great Lakes,"Columbus, Ohio",Semifinalist
Michael Mina,2010,Michael Mina,,Outstanding Service,"San Francisco, California",Nominee
Mercat a la Planxa,2010,Mercat a la Planxa,Korn Design,Outstanding Restaurant Graphics,"Chicago, Illinois",Nominee
3030 Ocean at Marriott Harbor Beach Resort & Spa,2010,3030 Ocean at Marriott Harbor Beach Resort & Spa,Dean James Max,Best Chef: South,"Fort Lauderdale, Florida",Semifinalist
Nostrana,2010,Nostrana,Catherine Whims,Best Chef: Northwest,"Portland, Oregon",Nominee
New Sammy's Cowboy Bistro,2010,New Sammy's Cowboy Bistro,Charlene Rollins,Best Chef: Northwest,"Talent, Oregon",Semifinalist
Rioja,2010,Rioja,Jennifer Jasinski,Best Chef: Southwest,"Denver, Colorado",Semifinalist
Marea,2010,Marea,,Best New Restaurant,"New York, New York",Winner
Osteria,2010,Osteria,Jeff Michaud,Best Chef: Mid-Atlantic,"Philadelphia, Pennsylvania",Winner
Feast,2010,Feast,James Silk,Best Chef: Southwest,"Houston, Texas",Semifinalist
Blackfish,2010,Blackfish,Charles Roman,Rising Star Chef of the Year,"Conshohocken, Pennsylvania",Semifinalist
The Bright Star,2010,The Bright Star,,America's Classics,"Bessemer, Alabama",Winner
Bay Avenue Trattoria,2010,Bay Avenue Trattoria,Joe Romanowski,Best Chef: Mid-Atlantic,"Highlands, New Jersey",Semifinalist
The Bright Star,2010,The Bright Star,,America's Classics,"Bessemer, Alabama",Winner
"Ashley's, The Capital Hotel",2010,"Ashley's, The Capital Hotel",Lee Richardson,Best Chef: South,"Little Rock, Arkansas",Semifinalist
Restaurant Magnus,2010,Restaurant Magnus,Nicholas Johnson,Best Chef: Midwest,"Madiaon, Wisconsin",Semifinalist
Rendezvous in Central Square,2010,Rendezvous in Central Square,Steve Johnson,Best Chef: Northeast,"Cambridge, Massachusetts",Semifinalist
Mary & Tito's Cafe,2010,Mary & Tito's Cafe,,America's Classics,"Albuquerque, New Mexico",Winner
Everest,2010,Everest,Jean Joho,Outstanding Chef,"Chicago, Illinois",Semifinalist
Bluebird Tavern,2010,Bluebird Tavern,,Best New Restaurant,"Burlington, Vermont",Semifinalist
Nopa,2010,Nopa,Laurence Jossel,Best Chef: Pacific,"San Francisco, California",Semifinalist
Blackbird,2010,Blackbird,Paul Kahan,Outstanding Chef,"Chicago, Illinois",Semifinalist
Mary & Tito's Cafe,2010,Mary & Tito's Cafe,,America's Classics,,Winner
Buckhead Life Restaurant Group,2010,Buckhead Life Restaurant Group,Pano Karatassos,Outstanding Restaurateur,"Atlanta, Georgia",Semifinalist
Rosenthal Wine Merchant/Mad Rose Group,2010,Rosenthal Wine Merchant/Mad Rose Group,Neal Rosenthal,Outstanding Wine & Spirits Professional,"New York, New York",Semifinalist
Jean Georges,2010,Jean Georges,,Outstanding Wine Service,"New York, New York",Winner
Arrows,2010,Arrows,Mark Gaier,Best Chef: Northeast,"Ogunquit, Maine",Winner
Prune,2010,Prune,Gabrielle Hamilton,Best Chef: New York City,"New York, New York",Nominee
Fond,2010,Fond,Lee Styer,Rising Star Chef of the Year,"Philadelphia, Pennsylvania",Semifinalist
Lettuce Entertain You Enterprises,2010,Lettuce Entertain You Enterprises,Richard Melman,Outstanding Restaurateur,"Chicago, Illinois",Nominee
Le Pigeon,2010,Le Pigeon,Gabriel Rucker,Best Chef: Northwest,"Portland, Oregon",Semifinalist
Merry Edwards Wines,2010,Merry Edwards Wines,Merry Edwards,Outstanding Wine & Spirits Professional,"Sebastopol, California",Nominee
Studio at Montage Laguna Beach,2010,Studio at Montage Laguna Beach,Craig Strong,Best Chef: Pacific,"Laguna Beach, California",Semifinalist
Holly Hill Inn,2010,Holly Hill Inn,Ouita Michel,Best Chef: Southeast,"Midway, Kentucky",Semifinalist
Bresca,2010,Bresca,Krista Kern Desjarlais,Best Chef: Northeast,"Portland, Maine",Semifinalist
Restaurant Eugene,2010,Restaurant Eugene,Linton Hopkins,Best Chef: Southeast,"Atlanta, Georgia",Nominee
Flour + Water,2010,Flour + Water,,Best New Restaurant,"San Francisco, California",Nominee
Venue Bistro,2010,Venue Bistro,James Rugile,Rising Star Chef of the Year,"Denver, Colorado",Semifinalist
Flour & Water,2010,Flour & Water,,Best New Restaurant,"San Francisco, California",Nominee
"Balthazar, Lucky Strike, Minetta Tavern, Morandi, Pastis, Pravda, and Schiller's Liquor Bar",2010,"Balthazar, Lucky Strike, Minetta Tavern, Morandi, Pastis, Pravda, and Schiller's Liquor Bar",Keith McNally,Outstanding Restaurateur,"New York, New York",Winner
Mirabelle at Three Village Inn,2010,Mirabelle at Three Village Inn,Guy Reuge,Best Chef: Northeast,"Stony Brook, New York",Semifinalist
Cafe Besalu,2010,Cafe Besalu,James Miller,Outstanding Pastry Chef,"Seattle, Washington",Semifinalist
"Palme d'Or, Biltmore",2010,"Palme d'Or, Biltmore",Philipe Ruiz,Best Chef: South,"Coral Gables, Florida",Semifinalist
Manresa,2010,Manresa,David Kinch,Best Chef: Pacific,"Los Gatos, California",Winner
The Compound,2010,The Compound,,Outstanding Service,"Santa Fe, New Mexico",Semifinalist
Michael Mina,2010,Michael Mina,Michael Mina,Outstanding Chef,"San Francisco, California",Semifinalist
Mary & Tito's Cafe,2010,Mary & Tito's Cafe,,America's Classics,"Albuquerque, New Mexico",Winner
Paul McIlhenny,2010,Paul McIlhenny,,Who's Who of Food & Beverage in America,"Avery Island, Louisiana",Winner
Montagna at the Little Nell,2010,Montagna at the Little Nell,Ryan Hardy,Best Chef: Southwest,"Aspen, Colorado",Nominee
The Wright,2010,The Wright,Andre Kikoski Architect,Outstanding Restaurant Design,"New York, New York",Winner
Sofra Bakery and Cafe,2010,Sofra Bakery and Cafe,Maura Kilpatrick,Outstanding Pastry Chef,"Cambridge, Massachusetts",Semifinalist
Urbanbelly,2010,Urbanbelly,Bill Kim,Best Chef: Great Lakes,"Chicago, Illinois",Semifinalist
Bouchon,2010,Bouchon,,Outstanding Restaurant,"Yountville, California",Semifinalist
Wilshire,2010,Wilshire,Andrew Kirschner,Best Chef: Pacific,"Santa Monica, California",Semifinalist
Jessica Harris,2010,Jessica Harris,,Who's Who of Food & Beverage in America,"New York, New York",Winner
Feast,2010,Feast,Richard Knight,Best Chef: Southwest,"Houston, Texas",Semifinalist
Picasso at Bellagio,2010,Picasso at Bellagio,,Outstanding Wine Service,"Las Vegas, Nevada",Semifinalist
Ninety Acres at Natirar,2010,Ninety Acres at Natirar,,Best New Restaurant,"Peapack-Gladstone, New Jersey",Semifinalist
Lilette,2010,Lilette,John Harris,Best Chef: South,"New Orleans, Louisiana",Nominee
St. George Spirits,2010,St. George Spirits,Jorg Rupf,Outstanding Wine & Spirits Professional,"Alameda, California",Semifinalist
The Boston Beer Company,2010,The Boston Beer Company,Jim Koch,Outstanding Wine & Spirits Professional,"Boston, Massachusetts",Semifinalist
Moore Brothers Wine Company,2010,Moore Brothers Wine Company,Gregory Moore,Outstanding Wine & Spirits Professional,"Pennsauken, New Jersey",Semifinalist
Park Avenue,2010,Park Avenue,Craig Koketsu,Best Chef: New York City,"New York, New York",Semifinalist
Acacia,2010,Acacia,Dale Reitzer,Best Chef: Mid-Atlantic,"Richmond, Virginia",Semifinalist
Craigie on Main,2010,Craigie on Main,Tony Maws,Best Chef: Northeast,"Cambridge, Massachusetts",Nominee
Coco500,2010,Coco500,Loretta Keller,Best Chef: Pacific,"San Francisco, California",Semifinalist
Fruition,2010,Fruition,Alex Seidel,Best Chef: Southwest,"Denver, Colorado",Semifinalist
Delfina,2010,Delfina,,Outstanding Restaurant,"San Francisco, California",Semifinalist
The Restaurant at Meadowood,2010,The Restaurant at Meadowood,Christopher Kostow,Best Chef: Pacific,"St. Helena, California",Semifinalist
Bluestem,2010,Bluestem,Colby Garrelts,Best Chef: Midwest,"Kansas City, Missouri",Nominee
"Fish Out of Water, WaterColor Inn & Resort",2010,"Fish Out of Water, WaterColor Inn & Resort",Philip Krajeck,Best Chef: South,"Santa Rosa Beach, Florida",Semifinalist
Cafe Central,2010,Cafe Central,Armando Pomales,Best Chef: Southwest,"El Paso, Texas",Semifinalist
Xavier's at Piermont,2010,Xavier's at Piermont,Peter Kelly,Best Chef: Northeast,"Piermont, New York",Nominee
La Grenouille,2010,La Grenouille,,Outstanding Service,"New York, New York",Nominee
Hot and Hot Fish Club,2010,Hot and Hot Fish Club,Christopher Hastings,Best Chef: South,"Birmingham, Alabama",Nominee
La Grenouille,2010,La Grenouille,,Outstanding Service,"New York, New York",Nominee
Boqueria,2010,Boqueria,Seamus Mullen,Best Chef: New York City,"New York, New York",Semifinalist
Del Posto,2010,Del Posto,Mark Ladner,Best Chef: New York City,"New York, New York",Semifinalist
La Grenouille,2010,La Grenouille,,Outstanding Service,"New York, New York",Nominee
Spiaggia,2010,Spiaggia,,Outstanding Restaurant,"Chicago, Illinois",Nominee
Chase's Daily,2010,Chase's Daily,Ted LaFage,Best Chef: Northeast,"Belfast, Maine",Semifinalist
